Tool,Count,Percentage
,273621,82.37
Vulnogram,40984,12.34
Bippy,10448,3.15
WPScan CVE Generator,2551,0.77
vulncheck,1716,0.52
enrichogram 0.0.1,760,0.23
cvelib 1.8.0,490,0.15
cvelib 1.7.1,329,0.1
cveClient,280,0.08
VINCE,213,0.06
F5 SIRTBot v1.0,173,0.05
ibm-cvegen,165,0.05
NVIDIA PSIRT,140,0.04
AMD PSIRT Automation 1.0,84,0.03
CVE-Request-form 0.0.1,69,0.02
csaf2cve 0.2.1,39,0.01
Robot Vulnerability Database (RVD),28,0.01
Elastic CVE Publisher 0.0.1,24,0.01
csaf2cve 0.2.0,19,0.01
cpansec-cna-tool 0.1,17,0.01
scooter,11,0.0
RTI Lubna 1.14.2,8,0.0
advisoriator,8,0.0
Tod's Junk Converter 0.0.2,6,0.0
cve-kit 0.1.0,3,0.0
cve-kit 1.0.0,2,0.0
Manual-assembly-2025,1,0.0
RTI Lubna 1.15.2,1,0.0
Cat Meow 0.2.0,1,0.0
meow :3,1,0.0
ArtManionBot 0.3b,1,0.0
vulncheck-kentico,1,0.0
Vuln0gram 0.2.0,1,0.0
